coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Huobi BTC,HBTC,40909.07,-0.001,-0.008,-0.027,2193840,1631618698,2022-03-17
renBTC,RENBTC,40854.63,0.002,0.009,-0.026,10275356,613544826,2022-03-17
Bitcoin,BTC,40851.38,0.001,0,-0.027,20476118020,7.76E+11,2022-03-17
Wrapped Bitcoin,WBTC,40815.68,-0.001,0,-0.028,257062192,11140930359,2022-03-17
sBTC,SBTC,40716.13,0,0.005,-0.028,2583416,165066520,2022-03-17
yearn.finance,YFI,19370.21,-0.004,0.02,-0.049,79795044,691957768,2022-03-17
Meerkat Shares,MSHARE,14141.32,0.001,0.091,1.065,8589756,126105039,2022-03-17
Ion,ION,7395.39,-0.037,0.048,-0.139,417792,157510201,2022-03-17
cVault.finance,CORE,6926.41,-0.005,0.026,0,42667.58,68840419,2022-03-17
Tomb Shares,TSHARE,3117.12,-0.015,0.07,-0.346,15057752,122042187,2022-03-17
Lido Staked Ether,STETH,2824.49,0.005,0.03,0.035,6987747,7293486788,2022-03-17
Ethereum,ETH,2824.42,0.004,0.029,0.034,13640408875,3.39E+11,2022-03-17
sETH,SETH,2821.01,0.006,0.039,0.033,3277906,100163119,2022-03-17
sETH2,SETH2,2818.01,0.005,0.028,0.035,958190,119015862,2022-03-17
Gains Farm,GFARM2,2330.78,0,0.03,0.102,138508,83519135,2022-03-17
Ankr Reward-Bearing Staked ETH,AETHC,2254.71,0.005,0.027,-0.035,103476,120703323,2022-03-17
Maker,MKR,2079.04,0.008,0.052,0.087,96980207,1874509741,2022-03-17
DFI.money,YFII,2018.73,0.001,-0.014,-0.001,11327787,80185006,2022-03-17
Tether Gold,XAUT,1958.19,0.001,0.004,-0.023,2671319,483043378,2022-03-17
PAX Gold,PAXG,1946.03,-0.002,0.005,-0.024,22038867,617755161,2022-03-17
Beefy.Finance,BIFI,1462.88,-0.004,0.005,-0.093,1404924,114334270,2022-03-17
Dopex,DPX,1173.9,0.007,0.042,0.007,3078417,211922629,2022-03-17
Illuvium,ILV,543.69,0.007,0.045,0.025,10973374,349615509,2022-03-17
BNB,BNB,389.61,0.002,0.016,-0.01,1425353937,65561157431,2022-03-17
Keep3rV1,KP3R,361.53,0.003,0.003,-0.032,19120535,135737507,2022-03-17
Gnosis,GNO,306.2,0.001,0.025,-0.025,1192417,571602114,2022-03-17
Bitcoin Cash,BCH,297.65,0.002,0.006,-0.035,1192569491,5652413614,2022-03-17
Wonderland,TIME,200.89,0.002,0.021,-0.054,1142909,181461291,2022-03-17
Monero,XMR,187.35,0.003,-0.01,-0.007,162222710,3388734398,2022-03-17
Elrond,EGLD,159.18,-0.003,-0.02,0.121,163087133,3510358610,2022-03-17
DeFi Pulse Index,DPI,158.57,-0.005,0.024,0.012,264648,74590066,2022-03-17
Zcash,ZEC,152.32,0,0.023,0.076,357248948,1862253242,2022-03-17
Aave,AAVE,147.18,0.007,0.071,0.153,406722278,2009385126,2022-03-17
Metis Token,METIS,146.26,0.007,-0.001,-0.075,36285014,438927006,2022-03-17
Kusama,KSM,134.99,0.007,0.064,0,69995764,1211430260,2022-03-17
LINK,LN,131.31,0.001,0.017,0.022,2027017,784870999,2022-03-17
Redacted Cartel,BTRFLY,129.99,-0.001,0.14,-0.212,2195840,80079688,2022-03-17
KeeperDAO,ROOK,115.76,0.008,0.07,-0.105,652966,93199097,2022-03-17
Compound,COMP,115.17,0.001,0.051,0.045,55258209,766476634,2022-03-17
Quant,QNT,114.66,0.005,0.018,-0.035,21373345,1538860559,2022-03-17
chrono.tech,TIME,113.61,0.012,-0.036,-0.234,150984,80595619,2022-03-17
