coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Huobi BTC,HBTC,41217.27,0.026,0.039,0.068,190002,1637583015,2022-03-16
Bitcoin,BTC,40859.46,0.022,0.03,0.055,35390763321,7.71E+11,2022-03-16
Wrapped Bitcoin,WBTC,40820.44,0.02,0.03,0.055,443045583,11077637101,2022-03-16
Interest Bearing Bitcoin,IBBTC,40647.97,0.019,0.023,0.052,3253.9,187618251,2022-03-16
sBTC,SBTC,40609.35,0.02,0.026,0.054,1195100,162541982,2022-03-16
renBTC,RENBTC,40555.22,0.016,0.034,0.048,14829115,602582895,2022-03-16
yearn.finance,YFI,18982.86,0.017,0.017,-0.014,81875140,678377900,2022-03-16
Meerkat Shares,MSHARE,12965.17,0.013,0.03,0.922,8304162,115928010,2022-03-16
Ion,ION,7053.41,0.007,0.001,-0.143,100410,150512232,2022-03-16
cVault.finance,CORE,6768.4,0.016,0.031,0.004,295513,68514733,2022-03-16
Tomb Shares,TSHARE,2920.47,0.043,0.077,-0.351,10610367,113643147,2022-03-16
Lido Staked Ether,STETH,2745.31,0.026,0.035,0.067,20327033,6972219575,2022-03-16
Ethereum,ETH,2744.41,0.024,0.034,0.065,19748695312,3.27E+11,2022-03-16
sETH2,SETH2,2740.47,0.027,0.035,0.068,19698.74,114815124,2022-03-16
sETH,SETH,2732.47,0.025,0.034,0.065,5049393,95094991,2022-03-16
Gains Farm,GFARM2,2267.65,0.013,0.033,0.036,133497,81067367,2022-03-16
Ankr Reward-Bearing Staked ETH,AETHC,2196.39,0.021,0.002,-0.02,1309490,116894099,2022-03-16
DFI.money,YFII,2051.79,0.022,0.086,0.104,16874472,81618922,2022-03-16
Maker,MKR,1982.58,0.029,0.071,0.129,92847731,1772467945,2022-03-16
Tether Gold,XAUT,1950.12,0.003,-0.002,-0.044,3689853,480346972,2022-03-16
PAX Gold,PAXG,1935.78,0.007,0.005,-0.057,30748651,611668819,2022-03-16
Beefy.Finance,BIFI,1455.73,0.012,0.047,-0.059,1429792,112999254,2022-03-16
Dopex,DPX,1126.14,0.034,0.006,0.031,4629323,200498616,2022-03-16
Illuvium,ILV,519.92,0.023,0.038,0.033,11072513,332435430,2022-03-16
BNB,BNB,383.43,0.018,0.028,0.004,1395853984,64043816800,2022-03-16
Keep3rV1,KP3R,360.63,0.007,0.022,0.006,22218089,135437476,2022-03-16
Gnosis,GNO,298.83,0.021,0.025,-0.003,2883611,553256284,2022-03-16
Bitcoin Cash,BCH,295.57,0.018,0.015,0.039,1378527955,5613130722,2022-03-16
Wonderland,TIME,196.83,0.017,0.011,-0.085,1483133,179963381,2022-03-16
Monero,XMR,189.34,0.003,0.011,-0.073,251596905,3416516046,2022-03-16
Elrond,EGLD,162.55,0.025,0.049,0.229,318813970,3550487729,2022-03-16
DeFi Pulse Index,DPI,155.37,0.029,0.042,0.054,207236,72755648,2022-03-16
Zcash,ZEC,148.94,0.02,0.065,0.075,276825707,1801878133,2022-03-16
Metis Token,METIS,146.38,0.026,0.009,-0.047,38905039,436965500,2022-03-16
Aave,AAVE,137.44,0.037,0.131,0.129,282336331,1862097786,2022-03-16
LINK,LN,129.46,0.036,0.018,0.024,1207902,759436472,2022-03-16
Kusama,KSM,126.84,0.025,0.04,0.038,65896976,1132594631,2022-03-16
chrono.tech,TIME,118.16,0.023,0.036,-0.147,295233,83232136,2022-03-16
Redacted Cartel,BTRFLY,114.27,0.009,0.004,-0.204,580990,68675140,2022-03-16
Quant,QNT,112.58,0.018,0.003,0.013,23727064,1505335556,2022-03-16
Compound,COMP,109.58,0.026,0.045,0.052,40756551,726097698,2022-03-16
Litecoin,LTC,109.44,0.016,0.013,0.089,735718470,7629784997,2022-03-16
KeeperDAO,ROOK,108.14,0.005,0.022,-0.001,420336,87457228,2022-03-16
Dopex Rebate Token,RDPX,101.45,0.056,0.04,0.113,3498225,90554011,2022-03-16
Dash,DASH,97.64,0.016,0.005,0.03,245449241,1035525179,2022-03-16
Alchemix,ALCX,95.14,0.028,-0.042,-0.125,8581305,111651916,2022-03-16
Nexus Mutual,NXM,92.51,0.026,0.035,0.065,1909.73,633750394,2022-03-16
Terra,LUNA,89.51,0.024,-0.005,0.046,2661508267,32945963147,2022-03-16
Marinade staked SOL,MSOL,88.63,0.025,0.014,0.043,18662090,578275391,2022-03-16
Lido Staked SOL,STSOL,87.91,0.024,0.013,0.04,4624558,233265607,2022-03-16
Solana,SOL,85.61,0.024,0.014,0.041,1776167313,27535891424,2022-03-16
Bitcoin SV,BSV,77.11,0.013,0.015,-0.019,135219354,1461042552,2022-03-16
Veritaseum,VERI,75.29,0.034,0.502,0.4,128316,161292251,2022-03-16
Avalanche,AVAX,73.69,0.034,0.032,0.011,866838890,19563622731,2022-03-16
BENQI Liquid Staked AVAX,SAVAX,73.3,0.035,0.036,0.003,232010,108588792,2022-03-16
Index Coop - ETH 2x Flexible Leverage Index,ETH2X-FLI,66.16,0.049,0.06,0.119,2344685,68519516,2022-03-16
Chia,XCH,65.15,0.012,-0.021,-0.084,10252044,221396095,2022-03-16
Decred,DCR,56.87,0.02,0.143,0.088,25032753,787162797,2022-03-16
Enzyme,MLN,53.93,0.02,0.02,0.046,7197240,78254927,2022-03-16
cETH,CETH,53.71,-0.001,0.009,0.04,1088.54,3191011869,2022-03-16
Axie Infinity,AXS,50.46,0.036,0.062,0.089,288996469,3733676299,2022-03-16
Moonriver,MOVR,48.85,0.021,-0.025,-0.062,23687001,163974343,2022-03-16
Tornado Cash,TORN,47.91,0.023,0.006,-0.071,10096292,111960444,2022-03-16
FTX Token,FTT,42.37,0.02,0.024,0.045,91093038,5803217982,2022-03-16
Horizen,ZEN,38.73,0.015,0.061,0.026,29127070,469969529,2022-03-16
JUNO,JUNO,38.35,0.018,0.096,-0.03,11491328,1747597737,2022-03-16
Strike,STRK,37.95,0.007,0.014,-0.031,9721665,118658676,2022-03-16
Neutrino System Base Token,NSBT,36.47,0.014,0.09,0.349,365249,92043237,2022-03-16
Decentralized Social,DESO,33.97,0.005,0.111,0.192,768392,354095011,2022-03-16
Arweave,AR,32.52,-0.003,0.074,0.002,50636342,1637697784,2022-03-16
OEC Token,OKT,32.27,0.023,0.01,-0.062,5163788,488521386,2022-03-16
Xido Finance,XIDO,30.86,-0.027,-0.049,0.766,1464061,893636559,2022-03-16
Rocket Pool,RPL,30.03,0.024,0.041,0.15,578038,480593962,2022-03-16
Bitcoin Gold,BTG,29.74,0.018,0.028,0.032,9146317,517358240,2022-03-16
Cosmos Hub,ATOM,28.8,0.017,0.051,0.035,784802946,8346059118,2022-03-16
Waves,WAVES,28.62,0.014,0.081,0.273,1508088374,2862185867,2022-03-16
Numeraire,NMR,28.13,0.013,0.027,0,5247599,165855215,2022-03-16
Olympus,OHM,28.12,0.014,-0.019,-0.086,3529301,390854092,2022-03-16
Ethereum Classic,ETC,26.93,0.028,0.031,0.01,315618129,3573077723,2022-03-16
Wrapped NXM,WNXM,26.65,0.027,0.024,0.005,3964149,70945266,2022-03-16
Maple,MPL,25.38,-0.005,-0.019,0.154,3006803,114666914,2022-03-16
Tokemak,TOKE,25.32,0.03,0.076,-0.004,6123881,292863833,2022-03-16
Livepeer,LPT,23.82,0.03,0.023,0.024,11291907,589774119,2022-03-16
GMX,GMX,22.78,0.028,0.038,-0.062,3864455,168867621,2022-03-16
ICHI,ICHI,22.69,0.023,0.049,0.133,910181,99403281,2022-03-16
Helium,HNT,21.72,-0.002,0.048,0.026,22415718,2183873719,2022-03-16
NEO,NEO,20.13,0.024,0.028,-0.017,148274906,1406977569,2022-03-16
OKB,OKB,19.05,0.013,0.039,0.072,180398248,4944831000,2022-03-16
Banana,BANANA,18.71,0.016,-0.141,0.708,550846,83416764,2022-03-16
Polkadot,DOT,18.55,0.031,0.035,0.095,762198942,20175265447,2022-03-16
KuCoin Token,KCS,18.41,0.014,0.009,0.02,8578734,1390455505,2022-03-16
Convex Finance,CVX,18.29,0.038,0.054,0.147,45253981,979304335,2022-03-16
Frax Share,FXS,17.92,0.006,-0.011,0.006,4834916,1031430071,2022-03-16
Poollotto.finance,PLT,17.61,0.004,0.004,0.015,737205,152110576,2022-03-16
Filecoin,FIL,17.27,0.016,0.01,-0.041,264401106,3052322720,2022-03-16
